dataset,fold_subject,subject_id,session,group_name,label,window_start_ms,window_end_ms,panel,signal,key,time_s,value
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.0,0.191236212849617
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.03999999910593033,0.4100101590156555
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.07999999821186066,0.6401922106742859
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.11999999731779099,0.8457696437835693
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.1599999964237213,0.9475886225700378
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.20000000298023224,0.9457738399505615
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.23999999463558197,0.9472411274909973
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.2800000011920929,1.0204232931137085
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.3199999928474426,1.1450532674789429
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.36000001430511475,1.2780590057373047
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.4000000059604645,1.3822091817855835
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.4399999976158142,1.4471580982208252
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.47999998927116394,1.4578776359558105
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.5199999809265137,1.3700634241104126
galaxy,P10,P10,tsst-prep,stress,1,1711417709382,1711417729382,deployable,PPG/BVP,ppg,0.5600000023841858,1.233342170715332
