dataset,fold_subject,subject_id,session,group_name,label,window_start_ms,window_end_ms,panel,signal,key,time_s,value
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.0,-0.017416005954146385
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.03125,0.018591132014989853
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.0625,0.041191380470991135
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.09375,0.04160335659980774
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.125,0.03707033768296242
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.15625,0.046211499720811844
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.1875,0.07009221613407135
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.21875,0.08832011371850967
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.25,0.08426941186189651
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.28125,0.06292889267206192
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.3125,0.04403992369771004
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.34375,0.037264179438352585
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.375,0.03420884907245636
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.40625,0.02218138985335827
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.4375,0.00037331171915866435
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.46875,-0.023328382521867752
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.5,-0.04494333639740944
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.53125,-0.06729099154472351
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.5625,-0.08884881436824799
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.59375,-0.09965866059064865
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.625,-0.09094618260860443
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.65625,-0.06399217247962952
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.6875,-0.027842307463288307
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.71875,0.004470210522413254
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.75,0.020257651805877686
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.78125,0.01677318662405014
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.8125,0.005759026389569044
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.84375,-1.0961590305669233e-05
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.875,0.0005145962932147086
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.90625,0.0034152644220739603
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.9375,0.009043845348060131
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,0.96875,0.01627081260085106
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.0,0.019352033734321594
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.03125,0.015750624239444733
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.0625,0.007119234651327133
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.09375,-0.006812861654907465
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.125,-0.02407679334282875
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.15625,-0.036170341074466705
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.1875,-0.03970148786902428
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.21875,-0.044686950743198395
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.25,-0.05991934612393379
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.28125,-0.07877050340175629
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.3125,-0.08959034830331802
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.34375,-0.0920986607670784
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.375,-0.09495317190885544
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.40625,-0.10343776643276215
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.4375,-0.11353477090597153
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.46875,-0.11256500333547592
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.5,-0.08794555813074112
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.53125,-0.043361447751522064
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.5625,-0.0012835859088227153
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.59375,0.018752219155430794
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.625,0.017143134027719498
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.65625,0.004961530212312937
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.6875,-0.009368210099637508
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.71875,-0.019067807123064995
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.75,-0.018617648631334305
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.78125,-0.009811116382479668
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.8125,-0.0005352656007744372
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.84375,0.0036256376188248396
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.875,0.0027830819599330425
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.90625,0.0005506875459104776
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.9375,0.00048090392374433577
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,1.96875,0.0026440327055752277
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,2.0,0.0027825096622109413
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,2.03125,-0.004226710647344589
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,2.0625,-0.018933363258838654
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,2.09375,-0.03462682664394379
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,2.125,-0.043507613241672516
wesad,S2,S2,stress,stress,1,2573546,2593546,deployable,PPG/BVP,ppg,2.15625,-0.045665398240089417
